#{"t_start": 1656518683.2017133, "env_id": "MicrogridControlGym-v0"}
r,l,t
-8018.140067,8759,36.803172
-7489.141057,8759,77.473274
-6768.906011,8759,118.813414
-6266.718576,8759,159.588461
-5680.169166,8759,200.315035
-5060.969154,8759,241.085826
-4777.408506,8759,281.820152
-4787.53932,8759,323.383088
-4831.586053,8759,364.30541
-4868.562768,8759,405.627053
-4807.310428,8759,447.01779
-4851.570397,8759,487.949717
-4831.892602,8759,529.954332
-4763.072833,8759,571.256857
-4890.50923,8759,612.37591
-4839.794621,8759,653.894428
-4787.349736,8759,695.196508
-4828.817877,8759,736.523372
-4799.20649,8759,778.891416
-4835.994144,8759,819.979767
