#{"t_start": 1652704633.92075, "env_id": "MicrogridControlGym-v0"}
r,l,t
-7566.644948,8759,44.593189
-7445.114345,8759,89.275031
-7386.115227,8759,133.611169
-7317.273891,8759,177.678235
-7153.083817,8759,222.275137
-6953.647004,8759,266.85349
-6951.900701,8759,313.369971
-6723.642007,8759,364.456459
-6884.201409,8759,411.022306
-6505.597782,8759,456.218537
-6434.75091,8759,502.222843
-6274.893329,8759,547.934184
-6243.427249,8759,593.431127
-6151.556323,8759,639.590999
-6086.141156,8759,685.647848
-6010.832731,8759,731.025357
-5872.820592,8759,776.762114
-5763.813483,8759,822.765826
-5620.459959,8759,868.425688
