#{"t_start": 1656515227.4517822, "env_id": "MicrogridControlGym-v0"}
r,l,t
-10332.317721,8759,40.504436
-9657.481098,8759,86.061627
-9169.604224,8759,129.951604
-8404.947582,8759,173.837998
-7857.269372,8759,217.507618
-7301.720233,8759,261.481269
-6913.928758,8759,305.205847
-6888.94196,8759,349.058856
-6880.73993,8759,400.604846
-7005.686547,8759,456.010911
-6946.991355,8759,505.08585
-6987.117428,8759,549.700856
-7053.701929,8759,595.129069
-6904.721741,8759,639.572507
-6981.947582,8759,684.223164
-7099.641679,8759,729.161815
-7009.299885,8759,773.752448
-7114.090368,8759,818.960695
-7066.09484,8759,863.790866
-7006.042725,8759,908.532168
