#{"t_start": 1656516136.122481, "env_id": "MicrogridControlGym-v0"}
r,l,t
-15946.216217,8759,38.292917
-15349.852971,8759,80.329023
-14651.877242,8759,122.107583
-13852.675433,8759,164.178981
-13093.850492,8759,206.283489
-12324.848168,8759,248.732472
-11994.949416,8759,291.21027
-12006.188089,8759,333.442791
-12021.77631,8759,376.090886
-11996.518632,8759,418.809625
-12005.740019,8759,461.511181
-12004.622731,8759,504.129662
-11992.293427,8759,547.055676
-12003.168755,8759,589.814821
-12024.2668,8759,632.534912
-12008.702198,8759,675.574403
-12013.039884,8759,718.338893
-12011.505656,8759,761.491383
-12021.661748,8759,804.180248
-12032.389891,8759,847.088255
