#{"t_start": 1656514319.3833165, "env_id": "MicrogridControlGym-v0"}
r,l,t
-16109.55899,8759,43.681523
-15273.315678,8759,88.766893
-14509.669559,8759,134.234865
-13787.521854,8759,181.60531
-13139.165942,8759,226.769422
-12394.149681,8759,273.196428
-11977.750617,8759,318.853831
-11991.063208,8759,364.261683
-12008.192232,8759,411.228368
-12008.303871,8759,457.556409
-11980.13362,8759,501.817128
-11973.091543,8759,546.432966
-11984.991045,8759,590.900037
-11996.275693,8759,635.353469
-11989.275525,8759,681.499997
-11998.681723,8759,726.787318
-12013.057897,8759,772.019907
-11974.718412,8759,817.687338
-12024.53655,8759,862.708291
-12033.163554,8759,907.925217
