Date,ProdPV,Consumption,Autoconsumed_power,Injected_power,Extracted_power
01/01 00:00,0,219.65,0,0,219.65
01/01 01:00,0,195.44,0,0,195.44
01/01 02:00,0,175.62,0,0,175.62
01/01 03:00,0,169.98,0,0,169.98
01/01 04:00,0,173.81,0,0,173.81
01/01 05:00,0,178.83,0,0,178.83
01/01 06:00,0,190.82,0,0,190.82
01/01 07:00,0,239.49,0,0,239.49
01/01 08:00,149.86,204.59,36.53,0,168.06
01/01 09:00,323.66,283.31,225.41,0,57.9
01/01 10:00,528.81,200.54,200.54,102.43,0
01/01 11:00,577.24,448.48,448.48,128.76,0
01/01 12:00,601.56,408.69,408.69,183.09,0
01/01 13:00,444.09,373.56,373.56,70.53,0
01/01 14:00,231.62,408.03,300.01,0,108.01
01/01 15:00,69.67,269.19,21.01,0,248.18
01/01 16:00,0,333.13,0,0,333.13
01/01 17:00,0,386.34,0,0,386.34
01/01 18:00,0,442.37,0,0,442.37
01/01 19:00,0,458.98,0,0,458.98
01/01 20:00,0,437.75,0,0,437.75
01/01 21:00,0,360.48,0,0,360.48
01/01 22:00,0,294.81,0,0,294.81
01/01 23:00,0,235.96,0,0,235.96
02/01 00:00,0,195.57,0,0,195.57
02/01 01:00,0,173.38,0,0,173.38
02/01 02:00,0,161.64,0,0,161.64
02/01 03:00,0,163.98,0,0,163.98
02/01 04:00,0,172.63,0,0,172.63
02/01 05:00,0,197,0,0,197
02/01 06:00,0,257.48,0,0,257.48
02/01 07:00,0,329.84,0,0,329.84
02/01 08:00,35.5,327.46,13.18,0,314.28
02/01 09:00,54.29,330.81,32.85,0,297.96
02/01 10:00,108.77,275.09,34.23,0,240.86
02/01 11:00,93.84,334.42,65.77,0,268.65
02/01 12:00,519.77,43.94,43.94,180.98,0
02/01 13:00,471.42,59.21,59.21,159.33,0
02/01 14:00,297.83,36.58,36.58,15.83,0
02/01 15:00,148.61,137.43,8.56,0,128.87
02/01 16:00,0,302.46,0,0,302.46
02/01 17:00,0,373.02,0,0,373.02
02/01 18:00,0,455.92,0,0,455.92
02/01 19:00,0,478.63,0,0,478.63
02/01 20:00,0,447.78,0,0,447.78
02/01 21:00,0,366.48,0,0,366.48
02/01 22:00,0,289.9,0,0,289.9
02/01 23:00,0,230.66,0,0,230.66
03/01 00:00,0,193.35,0,0,193.35
03/01 01:00,0,174.96,0,0,174.96
03/01 02:00,0,164.49,0,0,164.49
03/01 03:00,0,165.73,0,0,165.73
03/01 04:00,0,177.24,0,0,177.24
03/01 05:00,0,198.85,0,0,198.85
03/01 06:00,0,260.1,0,0,260.1
03/01 07:00,0,328.97,0,0,328.97
03/01 08:00,82.87,325.74,75.38,0,250.36
03/01 09:00,137.35,319.71,139.15,0,180.56
03/01 10:00,84.03,421.21,187.85,0,233.36
03/01 11:00,121.94,556.67,339.3,0,217.36
03/01 12:00,78.4,565.79,322.09,0,243.69
03/01 13:00,116.67,477.26,296.97,0,180.3
03/01 14:00,64.79,472.99,268.89,0,204.1
03/01 15:00,11.32,518.25,264.79,0,253.47
03/01 16:00,0,583.36,291.68,0,291.68
03/01 17:00,0,381.06,18.09,0,362.96
03/01 18:00,0,444.96,0,0,444.96
03/01 19:00,0,472.06,0,0,472.06
03/01 20:00,0,441.15,0,0,441.15
03/01 21:00,0,369.13,0,0,369.13
03/01 22:00,0,297.04,0,0,297.04
03/01 23:00,0,230.48,0,0,230.48
04/01 00:00,0,194.12,0,0,194.12
04/01 01:00,0,174.75,0,0,174.75
04/01 02:00,0,164.02,0,0,164.02
04/01 03:00,0,162.98,0,0,162.98
04/01 04:00,0,172.85,0,0,172.85
04/01 05:00,0,195,0,0,195
04/01 06:00,0,249.5,0,0,249.5
