Date et heure,Production Photovolta�que (W),Consumption,Puissance autoconsommée (W),Puissance inject�e (W),Puissance soutir�e (W)
01/01 00:00,0,458.81,0,0,458.81
01/01 01:00,0,408.24,0,0,408.24
01/01 02:00,0,366.84,0,0,366.84
01/01 03:00,0,355.05,0,0,355.05
01/01 04:00,0,363.05,0,0,363.05
01/01 05:00,0,373.54,0,0,373.54
01/01 06:00,0,398.59,0,0,398.59
01/01 07:00,0,500.25,0,0,500.25
01/01 08:00,37.38,664.09,37.38,0,626.71
01/01 09:00,230.89,797.02,230.89,0,566.13
01/01 10:00,205.69,890.65,205.69,0,684.96
01/01 11:00,466.91,936.8,466.91,0,469.89
01/01 12:00,413.1,874.12,413.1,0,461.02
01/01 13:00,528.1,780.31,528.1,0,252.21
01/01 14:00,176.8,709.44,176.8,0,532.64
01/01 15:00,21.59,663.94,21.59,0,642.35
01/01 16:00,0,695.85,0,0,695.85
01/01 17:00,0,807.01,0,0,807.01
01/01 18:00,0,924.03,0,0,924.03
01/01 19:00,0,958.73,0,0,958.73
01/01 20:00,0,914.38,0,0,914.38
01/01 21:00,0,752.98,0,0,752.98
01/01 22:00,0,615.81,0,0,615.81
01/01 23:00,0,492.89,0,0,492.89
02/01 00:00,0,408.51,0,0,408.51
02/01 01:00,0,362.16,0,0,362.16
02/01 02:00,0,337.64,0,0,337.64
02/01 03:00,0,342.53,0,0,342.53
02/01 04:00,0,360.59,0,0,360.59
02/01 05:00,0,411.49,0,0,411.49
02/01 06:00,0,537.83,0,0,537.83
02/01 07:00,0,688.99,0,0,688.99
02/01 08:00,13.61,730.62,13.61,0,717.01
02/01 09:00,33.86,735.79,33.86,0,701.93
02/01 10:00,35.22,730.32,35.22,0,695.1
02/01 11:00,67.59,757.19,67.59,0,689.6
02/01 12:00,44.84,707.67,44.84,0,662.83
02/01 13:00,60.71,651.9,60.71,0,591.19
02/01 14:00,37.59,589.06,37.59,0,551.47
02/01 15:00,8.78,579.61,8.78,0,570.83
02/01 16:00,0,631.78,0,0,631.78
02/01 17:00,0,779.18,0,0,779.18
02/01 18:00,0,952.34,0,0,952.34
02/01 19:00,0,999.78,0,0,999.78
02/01 20:00,0,935.34,0,0,935.34
02/01 21:00,0,765.51,0,0,765.51
02/01 22:00,0,605.56,0,0,605.56
02/01 23:00,0,481.82,0,0,481.82
03/01 00:00,0,403.88,0,0,403.88
03/01 01:00,0,365.46,0,0,365.46
03/01 02:00,0,343.6,0,0,343.6
03/01 03:00,0,346.18,0,0,346.18
03/01 04:00,0,370.22,0,0,370.22
03/01 05:00,0,415.37,0,0,415.37
03/01 06:00,0,543.32,0,0,543.32
03/01 07:00,0,687.17,0,0,687.17
03/01 08:00,77.26,696.06,77.26,0,618.8
03/01 09:00,142.68,664.07,142.68,0,521.39
03/01 10:00,192.41,662.98,192.41,0,470.57
03/01 11:00,494.16,708.75,494.16,0,214.59
03/01 12:00,628.3,672.8,628.3,0,44.5
03/01 13:00,397.8,620.31,397.8,0,222.51
03/01 14:00,366.7,561.67,366.7,0,194.97
03/01 15:00,19.97,553.1,19.97,0,533.13
03/01 16:00,0,609.27,0,0,609.27
03/01 17:00,0,758.17,0,0,758.17
03/01 18:00,0,929.44,0,0,929.44
03/01 19:00,0,986.06,0,0,986.06
03/01 20:00,0,921.49,0,0,921.49
03/01 21:00,0,771.06,0,0,771.06
03/01 22:00,0,620.46,0,0,620.46
03/01 23:00,0,481.43,0,0,481.43
04/01 00:00,0,405.48,0,0,405.48
04/01 01:00,0,365.03,0,0,365.03
04/01 02:00,0,342.6,0,0,342.6
04/01 03:00,0,340.44,0,0,340.44
04/01 04:00,0,361.05,0,0,361.05
04/01 05:00,0,407.33,0,0,407.33
04/01 06:00,0,521.16,0,0,521.16
04/01 07:00,0,651.46,0,0,651.46
04/01 08:00,41.78,692.55,41.78,0,650.77
04/01 09:00,68.46,667.16,68.46,0,598.7
04/01 10:00,213.76,665.31,213.76,0,451.55
