,PV production,Consumption,Net demand,Hydrogen_storage
2022-01-01 00:00:00,0.0,219.65,219.65,0.0
2022-01-01 01:00:00,0.0,195.44,195.44,0.0
2022-01-01 02:00:00,0.0,175.62,175.62,1365.0
2022-01-01 03:00:00,0.0,169.98,169.98,0.0
2022-01-01 04:00:00,0.0,173.81,173.81,1365.0
2022-01-01 05:00:00,0.0,178.83,178.83,0.0
2022-01-01 06:00:00,0.0,190.82,190.82,0.0
2022-01-01 07:00:00,0.0,239.49,239.49,0.0
2022-01-01 08:00:00,1049.02,204.59,-844.43,1365.0
2022-01-01 09:00:00,2265.6200000000003,283.31,-1982.3100000000004,1365.0
2022-01-01 10:00:00,3701.6699999999996,200.54,-3501.1299999999997,0.0
2022-01-01 11:00:00,4040.6800000000003,448.48,-3592.2000000000003,0.0
2022-01-01 12:00:00,4210.92,408.69,-3802.23,1365.0
2022-01-01 13:00:00,3108.6299999999997,373.56,-2735.0699999999997,1365.0
2022-01-01 14:00:00,1621.3400000000001,408.03,-1213.3100000000002,2730.0
2022-01-01 15:00:00,487.69,269.19,-218.5,4095.0
2022-01-01 16:00:00,0.0,333.13,333.13,1995.0
2022-01-01 17:00:00,0.0,386.34,386.34,3360.0
2022-01-01 18:00:00,0.0,442.37,442.37,3360.0
2022-01-01 19:00:00,0.0,458.98,458.98,1260.0
2022-01-01 20:00:00,0.0,437.75,437.75,2625.0
2022-01-01 21:00:00,0.0,360.48,360.48,2625.0
2022-01-01 22:00:00,0.0,294.81,294.81,3990.0
2022-01-01 23:00:00,0.0,235.96,235.96,3990.0
2022-01-02 00:00:00,0.0,195.57,195.57,3990.0
2022-01-02 01:00:00,0.0,173.38,173.38,3990.0
2022-01-02 02:00:00,0.0,161.64,161.64,3990.0
2022-01-02 03:00:00,0.0,163.98,163.98,1890.0
2022-01-02 04:00:00,0.0,172.63,172.63,3255.0
2022-01-02 05:00:00,0.0,197.0,197.0,1155.0
2022-01-02 06:00:00,0.0,257.48,257.48,0.0
2022-01-02 07:00:00,0.0,329.84,329.84,0.0
2022-01-02 08:00:00,248.5,327.46,78.95999999999998,0.0
2022-01-02 09:00:00,380.03,330.81,-49.21999999999997,0.0
2022-01-02 10:00:00,761.39,275.09,-486.3,0.0
2022-01-02 11:00:00,656.88,334.42,-322.46,1365.0
2022-01-02 12:00:00,3638.39,43.94,-3594.45,0.0
2022-01-02 13:00:00,3299.94,59.21,-3240.73,0.0
2022-01-02 14:00:00,2084.81,36.58,-2048.23,1365.0
2022-01-02 15:00:00,1040.27,137.43,-902.8399999999999,2730.0
2022-01-02 16:00:00,0.0,302.46,302.46,630.0
2022-01-02 17:00:00,0.0,373.02,373.02,0.0
2022-01-02 18:00:00,0.0,455.92,455.92,1365.0
2022-01-02 19:00:00,0.0,478.63,478.63,1365.0
2022-01-02 20:00:00,0.0,447.78,447.78,2730.0
2022-01-02 21:00:00,0.0,366.48,366.48,2730.0
2022-01-02 22:00:00,0.0,289.9,289.9,2730.0
2022-01-02 23:00:00,0.0,230.66,230.66,630.0
2022-01-03 00:00:00,0.0,193.35,193.35,0.0
2022-01-03 01:00:00,0.0,174.96,174.96,0.0
2022-01-03 02:00:00,0.0,164.49,164.49,0.0
2022-01-03 03:00:00,0.0,165.73,165.73,0.0
2022-01-03 04:00:00,0.0,177.24,177.24,0.0
2022-01-03 05:00:00,0.0,198.85,198.85,0.0
2022-01-03 06:00:00,0.0,260.1,260.1,0.0
2022-01-03 07:00:00,0.0,328.97,328.97,1365.0
2022-01-03 08:00:00,580.09,325.74,-254.35000000000002,1365.0
2022-01-03 09:00:00,961.4499999999999,319.71,-641.74,0.0
2022-01-03 10:00:00,588.21,421.21,-167.00000000000006,0.0
2022-01-03 11:00:00,853.5799999999999,556.67,-296.90999999999997,0.0
2022-01-03 12:00:00,548.8000000000001,565.79,16.989999999999895,1365.0
2022-01-03 13:00:00,816.69,477.26,-339.43000000000006,0.0
2022-01-03 14:00:00,453.53000000000003,472.99,19.45999999999998,0.0
2022-01-03 15:00:00,79.24000000000001,518.25,439.01,0.0
2022-01-03 16:00:00,0.0,583.36,583.36,0.0
2022-01-03 17:00:00,0.0,381.06,381.06,0.0
2022-01-03 18:00:00,0.0,444.96,444.96,0.0
2022-01-03 19:00:00,0.0,472.06,472.06,0.0
2022-01-03 20:00:00,0.0,441.15,441.15,1365.0
2022-01-03 21:00:00,0.0,369.13,369.13,2730.0
2022-01-03 22:00:00,0.0,297.04,297.04,4095.0
2022-01-03 23:00:00,0.0,230.48,230.48,1995.0
2022-01-04 00:00:00,0.0,194.12,194.12,0.0
2022-01-04 01:00:00,0.0,174.75,174.75,0.0
2022-01-04 02:00:00,0.0,164.02,164.02,0.0
2022-01-04 03:00:00,0.0,162.98,162.98,1365.0
2022-01-04 04:00:00,0.0,172.85,172.85,2730.0
2022-01-04 05:00:00,0.0,195.0,195.0,2730.0
2022-01-04 06:00:00,0.0,249.5,249.5,2730.0
2022-01-04 07:00:00,0.0,311.88,311.88,630.0
2022-01-04 08:00:00,115.64,355.74,240.10000000000002,1995.0
2022-01-04 09:00:00,375.41,332.49,-42.920000000000016,1995.0
2022-01-04 10:00:00,1132.39,365.22,-767.1700000000001,0.0
2022-01-04 11:00:00,4495.82,346.79,-4149.03,0.0
2022-01-04 12:00:00,4407.69,332.21,-4075.4799999999996,1365.0
2022-01-04 13:00:00,1744.54,373.36,-1371.1799999999998,2730.0
2022-01-04 14:00:00,913.8500000000001,241.66,-672.1900000000002,630.0
2022-01-04 15:00:00,410.55,235.86,-174.69,630.0
2022-01-04 16:00:00,0.0,295.38,295.38,630.0
2022-01-04 17:00:00,0.0,361.74,361.74,0.0
2022-01-04 18:00:00,0.0,446.5,446.5,1365.0
2022-01-04 19:00:00,0.0,472.86,472.86,1365.0
2022-01-04 20:00:00,0.0,447.09,447.09,1365.0
2022-01-04 21:00:00,0.0,372.71,372.71,1365.0
2022-01-04 22:00:00,0.0,299.57,299.57,1365.0
2022-01-04 23:00:00,0.0,236.89,236.89,0.0
2022-01-05 00:00:00,0.0,196.68,196.68,0.0
2022-01-05 01:00:00,0.0,175.85,175.85,0.0
2022-01-05 02:00:00,0.0,165.33,165.33,1365.0
2022-01-05 03:00:00,0.0,165.69,165.69,1365.0
2022-01-05 04:00:00,0.0,176.57,176.57,2730.0
2022-01-05 05:00:00,0.0,200.19,200.19,2730.0
2022-01-05 06:00:00,0.0,266.0,266.0,4095.0
2022-01-05 07:00:00,0.0,333.85,333.85,1995.0
2022-01-05 08:00:00,578.69,255.62,-323.07000000000005,3360.0
2022-01-05 09:00:00,1521.3100000000002,104.24,-1417.0700000000002,4725.0
2022-01-05 10:00:00,1539.4399999999998,120.33,-1419.11,4725.0
2022-01-05 11:00:00,1254.12,176.87,-1077.25,6090.0
2022-01-05 12:00:00,599.9,277.63,-322.27,6090.0
2022-01-05 13:00:00,2794.6800000000003,37.84,-2756.84,6090.0
2022-01-05 14:00:00,1188.04,145.79,-1042.25,7455.0
2022-01-05 15:00:00,41.370000000000005,268.78,227.40999999999997,7455.0
2022-01-05 16:00:00,0.0,287.5,287.5,7455.0
2022-01-05 17:00:00,0.0,359.96,359.96,7455.0
2022-01-05 18:00:00,0.0,448.5,448.5,8820.0
2022-01-05 19:00:00,0.0,476.59,476.59,6720.0
2022-01-05 20:00:00,0.0,442.37,442.37,6720.0
2022-01-05 21:00:00,0.0,368.0,368.0,6720.0
2022-01-05 22:00:00,0.0,299.57,299.57,4620.0
2022-01-05 23:00:00,0.0,232.06,232.06,4620.0
2022-01-06 00:00:00,0.0,195.64,195.64,4620.0
2022-01-06 01:00:00,0.0,178.21,178.21,4620.0
2022-01-06 02:00:00,0.0,167.63,167.63,2520.0
2022-01-06 03:00:00,0.0,170.71,170.71,420.0
2022-01-06 04:00:00,0.0,181.68,181.68,0.0
2022-01-06 05:00:00,0.0,203.22,203.22,1365.0
2022-01-06 06:00:00,0.0,265.3,265.3,1365.0
2022-01-06 07:00:00,0.0,338.27,338.27,1365.0
2022-01-06 08:00:00,425.88,333.89,-91.99000000000001,0.0
2022-01-06 09:00:00,2592.52,322.88,-2269.64,0.0
2022-01-06 10:00:00,1494.99,154.2,-1340.79,0.0
2022-01-06 11:00:00,4055.3100000000004,40.48,-4014.8300000000004,0.0
2022-01-06 12:00:00,4124.75,38.73,-4086.02,0.0
2022-01-06 13:00:00,3759.77,171.99,-3587.7799999999997,0.0
2022-01-06 14:00:00,2714.46,89.49,-2624.9700000000003,1365.0
2022-01-06 15:00:00,849.24,172.94,-676.3,0.0
2022-01-06 16:00:00,0.0,306.07,306.07,1365.0
2022-01-06 17:00:00,0.0,363.35,363.35,2730.0
2022-01-06 18:00:00,0.0,446.29,446.29,630.0
2022-01-06 19:00:00,0.0,468.14,468.14,0.0
2022-01-06 20:00:00,0.0,438.34,438.34,0.0
2022-01-06 21:00:00,0.0,369.27,369.27,1365.0
2022-01-06 22:00:00,0.0,308.91,308.91,2730.0
2022-01-06 23:00:00,0.0,251.4,251.4,4095.0
2022-01-07 00:00:00,0.0,206.03,206.03,4095.0
2022-01-07 01:00:00,0.0,181.88,181.88,1995.0
2022-01-07 02:00:00,0.0,167.75,167.75,1995.0
2022-01-07 03:00:00,0.0,167.14,167.14,0.0
2022-01-07 04:00:00,0.0,175.38,175.38,0.0
2022-01-07 05:00:00,0.0,184.25,184.25,0.0
2022-01-07 06:00:00,0.0,207.78,207.78,0.0
2022-01-07 07:00:00,0.0,284.82,284.82,1365.0
2022-01-07 08:00:00,1338.82,208.53,-1130.29,0.0
2022-01-07 09:00:00,2786.49,143.09,-2643.3999999999996,1365.0
2022-01-07 10:00:00,3702.23,86.7,-3615.53,1365.0
2022-01-07 11:00:00,4444.58,66.49,-4378.09,2730.0
2022-01-07 12:00:00,4439.400000000001,49.88,-4389.52,630.0
2022-01-07 13:00:00,3794.7000000000003,53.98,-3740.7200000000003,630.0
2022-01-07 14:00:00,3023.2999999999997,40.36,-2982.9399999999996,630.0
2022-01-07 15:00:00,1128.61,176.85,-951.7599999999999,630.0
2022-01-07 16:00:00,0.0,321.28,321.28,1995.0
2022-01-07 17:00:00,0.0,373.63,373.63,0.0
2022-01-07 18:00:00,0.0,434.69,434.69,0.0
2022-01-07 19:00:00,0.0,448.51,448.51,1365.0
2022-01-07 20:00:00,0.0,417.33,417.33,0.0
2022-01-07 21:00:00,0.0,357.58,357.58,1365.0
2022-01-07 22:00:00,0.0,310.36,310.36,1365.0
2022-01-07 23:00:00,0.0,257.29,257.29,0.0
2022-01-08 00:00:00,0.0,221.13,221.13,1365.0
2022-01-08 01:00:00,0.0,197.27,197.27,2730.0
2022-01-08 02:00:00,0.0,177.27,177.27,2730.0
2022-01-08 03:00:00,0.0,171.04,171.04,630.0
2022-01-08 04:00:00,0.0,176.48,176.48,0.0
2022-01-08 05:00:00,0.0,180.26,180.26,0.0
2022-01-08 06:00:00,0.0,193.25,193.25,1365.0
2022-01-08 07:00:00,0.0,241.6,241.6,1365.0
2022-01-08 08:00:00,588.2800000000001,281.74,-306.5400000000001,1365.0
2022-01-08 09:00:00,2251.69,103.99,-2147.7000000000003,1365.0
2022-01-08 10:00:00,3983.21,122.37,-3860.84,0.0
2022-01-08 11:00:00,3568.8799999999997,65.71,-3503.1699999999996,1365.0
2022-01-08 12:00:00,4031.23,76.41,-3954.82,0.0
2022-01-08 13:00:00,4208.610000000001,55.17,-4153.4400000000005,1365.0
2022-01-08 14:00:00,1413.0900000000001,181.5,-1231.5900000000001,2730.0
2022-01-08 15:00:00,773.5,207.87,-565.63,2730.0
2022-01-08 16:00:00,0.0,331.13,331.13,4095.0
2022-01-08 17:00:00,0.0,385.78,385.78,1995.0
2022-01-08 18:00:00,0.0,443.59,443.59,0.0
2022-01-08 19:00:00,0.0,460.84,460.84,0.0
2022-01-08 20:00:00,0.0,439.88,439.88,0.0
2022-01-08 21:00:00,0.0,363.12,363.12,0.0
2022-01-08 22:00:00,0.0,298.14,298.14,0.0
2022-01-08 23:00:00,0.0,238.03,238.03,1365.0
2022-01-09 00:00:00,0.0,195.21,195.21,1365.0
2022-01-09 01:00:00,0.0,173.37,173.37,1365.0
2022-01-09 02:00:00,0.0,162.07,162.07,1365.0
2022-01-09 03:00:00,0.0,163.12,163.12,1365.0
2022-01-09 04:00:00,0.0,172.62,172.62,2730.0
2022-01-09 05:00:00,0.0,196.11,196.11,630.0
2022-01-09 06:00:00,0.0,255.2,255.2,630.0
2022-01-09 07:00:00,0.0,326.47,326.47,0.0
2022-01-09 08:00:00,244.65000000000003,459.29,214.64,0.0
2022-01-09 09:00:00,2531.97,348.78,-2183.1899999999996,0.0
2022-01-09 10:00:00,2385.81,355.35,-2030.46,1365.0
2022-01-09 11:00:00,2841.02,359.22,-2481.8,1365.0
2022-01-09 12:00:00,2021.3899999999999,383.0,-1638.3899999999999,2730.0
2022-01-09 13:00:00,3044.65,310.54,-2734.11,4095.0
2022-01-09 14:00:00,2515.59,280.47,-2235.12,4095.0
2022-01-09 15:00:00,2002.1399999999999,275.84,-1726.3,5460.0
2022-01-09 16:00:00,0.0,601.04,601.04,3360.0
2022-01-09 17:00:00,0.0,738.51,738.51,1260.0
2022-01-09 18:00:00,0.0,592.46,592.46,2625.0
2022-01-09 19:00:00,0.0,474.33,474.33,525.0
2022-01-09 20:00:00,0.0,445.16,445.16,1890.0
