#{"t_start": 1652083074.7237544, "env_id": "MicrogridControlGym-v0"}
r,l,t
-4947.416266,8759,40.856156
-3294.767476,8759,86.211953
-3258.345046,8759,132.253763
-3248.249008,8759,178.978075
-3240.739796,8759,224.987149
-3360.259794,8759,270.911859
-3374.719755,8759,317.026491
-3365.591923,8759,363.842263
-3334.429288,8759,410.053738
-3277.552424,8759,456.37442
-3502.397529,8759,502.615999
-3604.621876,8759,549.572593
-3416.599533,8759,595.579457
-3381.388099,8759,644.577831
-3380.592962,8759,690.486889
-3286.035612,8759,740.210709
-3293.297983,8759,791.268245
-3336.814845,8759,846.30501
-3345.254346,8759,895.532039
-3433.32109,8759,946.62527
-3253.411659,8759,994.666759
-3295.249072,8759,1042.341095
-3321.603156,8759,1095.570976
-3313.209028,8759,1142.348284
-3358.07681,8759,1191.401753
-3301.230909,8759,1245.779942
-3329.432869,8759,1297.693061
-3402.50755,8759,1352.163116
-3608.186759,8759,1408.561482
-3357.340074,8759,1459.809057
-3436.300859,8759,1513.175704
-3461.761862,8759,1563.746846
-3404.960457,8759,1610.689383
-3374.38817,8759,1655.733852
-3386.933708,8759,1700.508326
