;"#{""t_start"": 1652175196.5762615";" ""env_id"": ""MicrogridControlGym-v0""}"
r;l;t
-3830.397072;8759;42.666849
-3255.381227;8759;88.636299
-3297.09767;8759;136.563729
-3271.189055;8759;183.436433
-3195.410473;8759;230.827092
-3179.487354;8759;277.62028
-3201.731376;8759;324.951893
-3167.398152;8759;371.475471
-3170.543509;8759;418.625125
-3183.560801;8759;466.270797
-3225.913753;8759;513.429638
-3209.121969;8759;559.561505
-3185.241859;8759;607.946096
-3152.680322;8759;654.102566
-3159.983574;8759;700.131517
-3143.424095;8759;746.375136
-3143.282552;8759;795.380187
-3151.498298;8759;841.686025
-3174.215121;8759;891.517996
-3152.827477;8759;936.179656
-3160.98707;8759;981.913602
-3165.956797;8759;1027.153617
-3150.357753;8759;1072.260944
-3159.20487;8759;1119.232875
-3152.45751;8759;1165.472563
-3143.718133;8759;1212.226802
-3140.813667;8759;1258.973586
-3148.470679;8759;1314.949085
-3157.847362;8759;1364.289771
-3150.533869;8759;1410.873091
-3159.545198;8759;1457.562314
-3195.982938;8759;1504.706186
-3164.745389;8759;1550.694538
-3154.48908;8759;1595.878802
-3144.245671;8759;1641.696153
-3159.659511;8759;1686.855689
-3255.645614;8759;1732.696382
-3163.586387;8759;1780.59076
-3142.156191;8759;1826.263767
-3177.899507;8759;1871.584688
-3163.293271;8759;1916.899715
-3161.209745;8759;1962.727042
-3158.59399;8759;2008.523551
-3359.686936;8759;2054.443596
-3164.529808;8759;2100.592118
-3166.551052;8759;2146.543298
-3170.389859;8759;2191.974208
-3160.781512;8759;2238.071088
-3151.444727;8759;2284.000996
-3168.73996;8759;2329.813991
-3135.407144;8759;2375.494377
-3155.759279;8759;2421.964396
-3139.314978;8759;2467.236222
-3156.167398;8759;2512.704687
-3312.606934;8759;2558.317513
-3200.287657;8759;2603.356189
-3140.664618;8759;2647.466007
-3163.096967;8759;2691.593201
-3170.028465;8759;2735.392743
-3164.722579;8759;2779.476304
-3153.419319;8759;2823.153097
-3154.283031;8759;2866.941448
-3160.110841;8759;2911.150082
-3145.09297;8759;2954.565163
-3153.274647;8759;2998.582511
-3173.650566;8759;3042.336485
-3162.044753;8759;3086.084209
-3162.787074;8759;3130.125774
-3150.00494;8759;3174.39503
-3150.380184;8759;3217.968615
-3165.777869;8759;3262.037557
-3149.310572;8759;3305.508934
-3158.906719;8759;3349.166648
-3167.13996;8759;3393.000341
-3153.889059;8759;3437.904016
-3163.049582;8759;3481.586618
-3146.508726;8759;3525.320736
-3163.276778;8759;3568.867821
-3148.760544;8759;3613.420519
-3167.990015;8759;3657.310395
-3157.346165;8759;3702.33534
-3154.20514;8759;3745.861653
-3148.974685;8759;3790.374899
-3140.853746;8759;3833.828784
-3153.130246;8759;3878.208542
-3123.878975;8759;3921.933036
-3145.562211;8759;3965.682316
-3145.392755;8759;4009.446579
-3144.1757;8759;4052.952236
-3140.375546;8759;4096.641552
-3145.476539;8759;4140.303441
-3138.340076;8759;4183.339684
-3128.784748;8759;4227.594429
-3155.788223;8759;4271.466669
-3157.838086;8759;4315.708817
-3142.567528;8759;4360.156689
-3161.249744;8759;4403.70039
-3232.621173;8759;4447.229143
-3160.031114;8759;4490.846067
-3160.881851;8759;4535.109906
