#{"t_start": 1637239864.2682416, "env_id": null}
r,l,t
-4913.946953,8759,43.073442
-4150.319203,8759,85.928805
-3482.737814,8759,128.620497
-3153.670326,8759,170.998282
-3145.877688,8759,212.870142
-3161.893446,8759,254.838435
-3164.63584,8759,296.771278
-3227.886589,8759,339.778082
-3276.311359,8759,382.421097
-3287.767675,8759,425.070248
-3234.683511,8759,466.157554
-3175.187901,8759,511.067911
-3159.286899,8759,562.731211
-3192.128257,8759,613.200023
-3281.384379,8759,661.118514
-3227.726404,8759,707.349842
-3176.784908,8759,755.366439
-3227.455678,8759,801.345062
-3227.175761,8759,849.157492
-3181.260206,8759,899.657462
-3214.584367,8759,950.91043
-3230.459686,8759,1003.924322
-3249.035456,8759,1055.104859
-3219.164056,8759,1103.375668
-3231.417606,8759,1149.249462
-3178.529905,8759,1195.987224
-3182.54906,8759,1243.629812
-3197.711718,8759,1290.79456
-3217.19397,8759,1349.525768
-3251.798949,8759,1478.209083
