#{"t_start": 1634732338.4222035, "env_id": null}
r,l,t
-5075.51281,8759,75.31691
-3401.149793,8759,151.094757
-2483.106413,8759,225.603314
-1516.466845,8759,297.930467
-732.165486,8759,333.197178
-591.635062,8759,369.11292
-502.74376,8759,403.910768
-371.60249,8759,439.272273
-364.006614,8759,474.395248
-224.588225,8759,548.643229
-336.808928,8759,586.165082
-185.58207,8759,624.471222
358.421772,8759,665.538301
532.088756,8759,708.017608
466.980775,8759,749.604809
805.449818,8759,792.737958
902.207775,8759,836.840744
944.436243,8759,880.203556
951.372472,8759,924.849351
970.12528,8759,1000.268586
817.368871,8759,1040.679709
470.264138,8759,1080.922021
123.949974,8759,1117.921272
-82.064742,8759,1154.409957
-64.604434,8759,1191.141026
-18.01298,8759,1227.609389
-56.982012,8759,1263.332438
166.882366,8759,1300.080889
463.065534,8759,1338.070215
883.957115,8759,1414.258231
780.626393,8759,1455.376215
851.032028,8759,1498.385261
565.563449,8759,1538.742299
771.680461,8759,1579.478624
966.980146,8759,1623.073424
767.948218,8759,1666.253065
734.985163,8759,1705.241632
711.243383,8759,1745.360768
813.490894,8759,1785.327543
474.653519,8759,1860.641738
711.680372,8759,1901.497878
920.277863,8759,1943.766924
907.063544,8759,1985.681138
860.53728,8759,2030.348909
919.796889,8759,2073.393872
1144.469924,8759,2116.143898
950.05848,8759,2158.207365
1041.246642,8759,2201.840587
1089.404072,8759,2244.866103
1017.020408,8759,2321.87028
